C,kernel,train_acc,val_acc,test_acc,gamma,degree
5.0,linear,0.0042691801233626725,0.0036210798577432915,0.004723084886128364,,
5.0,rbf,0.005086977614526301,0.003556417717426447,0.004011387163561077,scale,
1.0,sigmoid,0.002619724166608913,0.003556417717426447,0.003105590062111801,0.01,
1.0,rbf,0.003035553399403978,0.0031037827352085354,0.003170289855072464,0.01,
0.5,rbf,0.0028969436551389565,0.0029744584545748462,0.0030408902691511385,0.01,
5.0,rbf,0.0036870191974495807,0.0025864856126737797,0.0025232919254658385,0.1,
0.5,poly,0.002786055859726939,0.002392499191723246,0.002070393374741201,scale,2.0
1.0,poly,0.002647446115461917,0.002392499191723246,0.002070393374741201,scale,2.0
1.0,rbf,0.004088987455818144,0.0021985127707727127,0.0033643892339544515,scale,
1.0,rbf,0.002744472936447432,0.002133850630455868,0.002976190476190476,0.1,
0.5,rbf,0.003451382632199044,0.002004526349822179,0.002587991718426501,scale,
0.5,poly,0.0023009217547993624,0.00187520206918849,0.0016174948240165632,scale,3.0
1.0,linear,0.0029662485272714673,0.00187520206918849,0.0032349896480331265,,
0.5,linear,0.002702890013167926,0.0018105399288716457,0.003299689440993789,,
1.0,poly,0.0023147827292258646,0.0018105399288716457,0.0014233954451345755,scale,3.0
0.1,linear,0.0018019266754452838,0.0014225670869705788,0.002070393374741201,,
0.5,rbf,0.001982119342989812,0.0012285806660200453,0.0017468944099378882,0.1,
5.0,rbf,0.0018573705731512926,0.0011639185257032007,0.0018762939958592133,0.01,
0.1,rbf,0.0014969852380622359,0.0010345942450695118,0.0012939958592132505,scale,
0.1,rbf,0.0013445145193707118,0.0009699321047526673,0.0009704968944099379,0.01,
0.1,rbf,0.0015247071869152402,0.0009699321047526673,0.0011645962732919255,0.1,
0.1,sigmoid,0.0013167925705177073,0.0009052699644358229,0.001099896480331263,0.01,
1.0,sigmoid,0.0006237438491925982,0.0007759456838021338,0.0009057971014492754,scale,
0.1,sigmoid,0.0004019682583685633,0.0006466214031684449,0.0007116977225672878,scale,
